@relation student_summarization
@attribute course real
@attribute n_assignment real
@attribute n_posts real
@attribute n_read real
@attribute n_quiz real
@attribute n_quiz_a real
@attribute n_quiz_s real
@attribute total_time_assignment real
@attribute total_time_quiz real
@attribute total_time_forum real
@attribute mark
@data
29,2,1,0,0,0,0,177,0,1371,FAIL
29,1,1,0,0,0,0,0,0,758,FAIL
29,1,0,0,0,0,0,17,0,99,PASS
29,0,0,0,0,0,0,0,0,310,FAIL
29,1,0,0,0,0,0,0,0,168,FAIL
29,1,0,0,0,0,0,0,0,10341,FAIL
29,1,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,293,FAIL
29,1,0,0,0,0,0,0,0,735,FAIL
29,0,0,0,0,0,0,0,0,404,FAIL
29,1,0,0,0,0,0,93,0,2531,FAIL
29,2,1,0,0,0,0,398,0,3782,PASS
29,0,0,0,0,0,0,0,0,1112,FAIL
29,1,0,0,0,0,0,19,0,161,FAIL
29,0,0,0,0,0,0,0,0,0,PASS
29,0,0,0,0,0,0,0,0,213,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,0,0,0,0,0,0,0,541,FAIL
29,1,1,0,0,0,0,246,0,1137,PASS
29,2,1,0,0,0,0,169,0,2699,FAIL
29,0,0,0,0,0,0,0,0,141,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,2,0,0,0,0,0,0,1274,FAIL
29,0,0,0,0,0,0,0,0,136,FAIL
29,0,0,0,0,0,0,0,0,319,FAIL
29,2,0,0,0,0,0,143,0,1463,FAIL
29,1,0,0,0,0,0,0,0,13,FAIL
29,0,0,0,0,0,0,0,0,360,FAIL
29,3,1,0,0,0,0,279,0,2512,FAIL
29,0,0,0,0,0,0,0,0,179,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,2,0,0,0,0,14,0,1547,PASS
29,2,1,0,0,0,0,1639,0,1452,FAIL
29,1,0,0,0,0,0,281,0,3258,FAIL
29,0,0,0,0,0,0,0,0,14711,FAIL
29,1,0,0,0,0,0,4,0,518,FAIL
29,1,3,0,0,0,0,0,0,1053,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,3,1,0,0,0,0,269,0,2310,FAIL
29,0,0,0,0,0,0,0,0,286,FAIL
29,0,0,0,0,0,0,0,0,772,FAIL
29,0,0,0,0,0,0,0,0,120,FAIL
29,1,0,0,0,0,0,194,0,1937,PASS
29,1,2,0,0,0,0,0,0,1869,PASS
29,0,0,0,0,0,0,0,0,163,FAIL
29,0,10,0,0,0,0,0,0,3595,FAIL
29,0,3,0,0,0,0,0,0,1985,FAIL
29,1,3,0,0,0,0,0,0,1107,FAIL
29,1,2,0,0,0,0,204,0,2159,FAIL
29,1,0,0,0,0,0,0,0,245,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,18,FAIL
29,1,0,0,0,0,0,0,0,268,FAIL
29,1,0,0,0,0,0,0,0,165,FAIL
29,1,0,0,0,0,0,649,0,1165,FAIL
29,4,1,0,0,0,0,337,0,342,FAIL
29,1,3,0,0,0,0,0,0,1756,PASS
29,1,1,0,0,0,0,75,0,1826,FAIL
29,2,0,0,0,0,0,262,0,6418,PASS
29,2,0,0,0,0,0,152,0,5149,FAIL
29,0,0,0,0,0,0,0,0,666,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,861,PASS
29,1,0,0,0,0,0,0,0,5589,PASS
29,1,2,0,0,0,0,6,0,0,FAIL
29,1,0,0,0,0,0,0,0,382,FAIL
29,1,0,7,0,0,0,0,0,12683,FAIL
29,0,0,0,0,0,0,0,0,143,FAIL
29,2,0,0,0,0,0,48,0,1060,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,2,7,0,0,0,120,0,1949,PASS
29,1,0,0,0,0,0,18,0,2242,FAIL
29,0,0,0,0,0,0,0,0,1903,EXCELLENT
29,1,0,0,0,0,0,0,0,850,FAIL
29,0,1,0,0,0,0,0,0,1126,FAIL
29,0,0,0,0,0,0,0,0,340,FAIL
29,1,0,0,0,0,0,13,0,0,FAIL
29,1,0,0,0,0,0,0,0,550,FAIL
29,2,4,0,0,0,0,388,0,2429,FAIL
29,0,0,0,0,0,0,0,0,237,FAIL
29,0,0,0,0,0,0,6,0,733,PASS
29,0,0,7,0,0,0,0,0,1396,FAIL
29,1,0,0,0,0,0,0,0,391,FAIL
29,0,0,0,0,0,0,0,0,71,FAIL
29,2,0,0,0,0,0,148,0,5221,PASS
29,1,0,0,0,0,0,172,0,0,FAIL
29,0,0,0,0,0,0,0,0,9720,FAIL
29,1,0,0,0,0,0,276,0,233,FAIL
29,0,0,0,0,0,0,0,0,1003,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,0,0,0,0,0,0,0,1343,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,0,0,0,0,0,0,0,142,FAIL
29,0,0,0,0,0,0,0,0,1367,FAIL
29,1,0,0,0,0,0,0,0,0,PASS
29,0,1,0,0,0,0,0,0,810,PASS
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,0,0,0,0,0,0,0,579,FAIL
29,0,0,0,0,0,0,0,0,433,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,2,0,0,0,0,0,329,0,564,FAIL
29,0,0,0,0,0,0,0,0,252,FAIL
29,0,0,0,0,0,0,0,0,620,FAIL
29,2,0,0,0,0,0,445,0,551,PASS
29,1,0,0,0,0,0,0,0,109,FAIL
29,1,0,0,0,0,0,0,0,0,FAIL
29,1,1,0,0,0,0,0,0,125,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,0,0,0,0,0,0,0,0,PASS
29,2,1,0,0,0,0,256,0,710,FAIL
29,1,0,0,0,0,0,95,0,347,FAIL
29,0,0,0,0,0,0,0,0,120,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,2,0,0,0,0,0,278,0,1147,FAIL
29,1,4,0,0,0,0,0,0,415,FAIL
29,1,1,0,0,0,0,324,0,1638,PASS
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,0,0,0,0,0,24,0,2455,FAIL
29,1,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,833,FAIL
29,0,0,0,0,0,0,0,0,641,FAIL
29,1,0,0,0,0,0,0,0,0,FAIL
110,11,0,0,12,9,3,1681,6412,2158,EXCELLENT
110,10,0,0,11,8,3,98,6709,553,PASS
110,8,7,0,7,6,1,1153,3534,6684,FAIL
110,11,0,0,10,5,5,1149,5608,292,PASS
110,9,0,0,13,9,4,1382,8916,5703,EXCELLENT
110,8,1,0,13,9,4,908,7293,5640,GOOD
110,9,0,0,11,8,3,768,3396,1800,PASS
110,10,5,0,12,8,4,661,5062,1535,GOOD
110,10,4,0,13,9,4,664,6035,7763,GOOD
110,11,1,0,11,9,2,1554,4114,0,GOOD
110,10,1,0,13,9,4,403,2910,3157,GOOD
110,9,0,0,11,7,4,888,5162,799,FAIL
110,10,4,0,12,9,3,678,5620,1705,GOOD
110,10,2,0,13,9,4,772,4080,1139,GOOD
110,9,0,0,12,7,5,698,4796,1217,FAIL
110,10,0,0,11,9,2,985,4132,515,GOOD
110,11,2,0,12,9,3,1020,3000,1975,GOOD
110,11,3,0,12,9,3,1039,5725,3725,GOOD
110,8,5,0,7,3,4,384,4028,4311,FAIL
110,9,2,0,12,8,4,1099,6662,3287,GOOD
110,11,0,0,12,7,5,1095,4848,1988,PASS
110,10,2,0,12,8,4,532,8107,1719,GOOD
110,10,2,0,13,8,5,1626,6287,4764,GOOD
110,11,4,0,13,9,4,361,5370,3722,GOOD
110,9,0,0,12,9,3,2157,4815,931,GOOD
110,11,3,0,12,7,5,2102,4002,3964,PASS
110,9,0,0,10,7,3,607,4536,196,FAIL
110,9,0,0,11,7,4,790,5593,0,FAIL
110,11,2,0,10,8,2,1283,5178,2610,PASS
110,10,0,0,11,7,4,313,7303,216,FAIL
110,10,0,0,12,8,4,649,6323,419,FAIL
110,10,0,0,12,9,3,1340,5007,1090,GOOD
110,10,1,0,10,9,1,560,2788,1466,GOOD
110,10,0,0,12,9,3,212,5399,0,GOOD
110,11,0,0,11,6,5,922,4308,1757,PASS
110,11,2,0,13,8,5,1188,5736,1912,GOOD
110,11,3,0,12,8,4,1596,6465,13299,GOOD
110,10,1,0,11,8,3,827,2355,1412,FAIL
110,10,0,0,12,6,6,727,4788,2015,GOOD
110,11,6,0,10,7,3,3061,7215,0,EXCELLENT
110,9,0,0,12,7,5,1116,3883,1318,PASS
110,11,3,0,10,4,6,679,4783,4444,PASS
110,9,0,0,13,8,5,812,7483,1031,GOOD
110,10,0,0,12,8,4,694,4245,1717,GOOD
110,10,0,0,6,4,2,766,1639,133,FAIL
110,10,2,0,12,8,4,842,6174,0,GOOD
110,10,0,0,11,9,2,523,3917,1177,EXCELLENT
110,9,2,0,11,9,2,587,6498,0,GOOD
110,9,3,0,8,6,2,1017,3570,5367,GOOD
110,10,0,0,12,9,3,836,4598,1457,GOOD
110,11,7,0,13,9,4,1465,8164,10497,GOOD
110,10,0,0,11,9,2,1033,5976,0,GOOD
110,10,5,0,13,8,5,663,4276,0,GOOD
110,10,2,0,13,9,4,723,4918,1926,GOOD
110,10,6,0,12,9,3,1077,8700,4636,GOOD
110,9,0,0,11,8,3,1014,3875,929,PASS
110,11,0,0,13,5,8,1685,5083,252,FAIL
110,11,0,0,11,6,5,1080,2656,140,FAIL
110,9,2,0,13,8,5,461,4360,5290,PASS
110,10,1,0,13,8,5,991,0,1056,GOOD
110,0,0,0,2,1,1,17,561,923,FAIL
110,11,2,0,10,7,3,1021,6469,3268,PASS
111,13,3,0,0,0,0,7243,0,1723,FAIL
111,13,4,0,0,0,0,3336,0,3394,PASS
111,0,0,0,0,0,0,283,0,1402,FAIL
111,13,7,0,0,0,0,1241,0,3413,EXCELLENT
111,13,6,0,0,0,0,4730,0,3157,GOOD
111,13,5,0,0,0,0,1619,0,4774,GOOD
111,13,8,0,0,0,0,1655,0,6033,GOOD
111,9,8,0,0,0,0,732,0,2035,PASS
111,13,7,0,0,0,0,1624,0,0,PASS
111,13,7,0,0,0,0,1438,0,2239,FAIL
111,6,6,0,0,0,0,1928,0,1691,FAIL
111,10,2,0,0,0,0,842,0,2670,GOOD
111,13,4,0,0,0,0,2069,0,1221,FAIL
